Skewness,Kurtosis,Contrast1,Contrast2,Contrast3,Contrast4,Contrast5,Contrast6,Contrast7,Contrast8,Contrast9,Contrast10,Contrast11,Contrast12,Dissimilarity1,Dissimilarity2,Dissimilarity3,Dissimilarity4,Dissimilarity5,Dissimilarity6,Dissimilarity7,Dissimilarity8,Dissimilarity9,Dissimilarity10,Dissimilarity11,Dissimilarity12,Homogeneity1,Homogeneity2,Homogeneity3,Homogeneity4,Homogeneity5,Homogeneity6,Homogeneity7,Homogeneity8,Homogeneity9,Homogeneity10,Homogeneity11,Homogeneity12,Energy1,Energy2,Energy3,Energy4,Energy5,Energy6,Energy7,Energy8,Energy9,Energy10,Energy11,Energy12,Correlation1,Correlation2,Correlation3,Correlation4,Correlation5,Correlation6,Correlation7,Correlation8,Correlation9,Correlation10,Correlation11,Correlation12,Class
"0,73","-1,47","6279,0098","4693,0851","5471,875","4720,2128","7258,2253","4693,0851","5825,1562","4720,2128","10003,8462","8453,25","8072,8316","7972,6304","24,6236","18,4043","21,4583","18,5106","28,4636","18,4043","22,8438","18,5106","39,2308","33,15","31,6582","31,2652","0,9034","0,9278","0,9159","0,9274","0,8884","0,9278","0,9104","0,9274","0,8462","0,87","0,8759","0,8774","0,6909","0,7089","0,6972","0,7086","0,6859","0,7089","0,697","0,7086","0,6654","0,6829","0,6796","0,6868","0,7783","0,8323","0,8074","0,8314","0,7406","0,8323","0,7929","0,8314","0,6397","0,6909","0,7109","0,7086",c
"1,38","-0,1","5045,7447","3265,0851","4714,3125","3541,7872","4601,087","3265,0851","4368,176","3541,7872","5836,6667","4961,9787","5334,082","5885,1375","19,7872","12,8043","18,4875","13,8894","18,0435","12,8043","17,1301","13,8894","22,8889","19,4587","20,918","23,079","0,9224","0,9498","0,9275","0,9455","0,9292","0,9498","0,9328","0,9455","0,9102","0,9237","0,918","0,9095","0,7769","0,7997","0,778","0,7973","0,7877","0,7997","0,7875","0,7973","0,7841","0,7996","0,7852","0,7921","0,7611","0,8395","0,7786","0,8259","0,7744","0,8395","0,7882","0,8259","0,7042","0,7371","0,7338","0,6881",c
"1,2","-0,57","5142,7951","4217,4233","5358,2403","4268,5436","5431,5603","4217,4233","5690,9635","4268,5436","7015,5797","6944,1592","7441,8367","7050,5831","20,1678","16,5389","21,0127","16,7394","21,3002","16,5389","22,3175","16,7394","27,5121","27,232","29,1837","27,6493","0,9209","0,9351","0,9176","0,9344","0,9165","0,9351","0,9125","0,9344","0,8921","0,8932","0,8856","0,8916","0,7544","0,7707","0,7538","0,7703","0,7572","0,7707","0,7579","0,7703","0,7488","0,7609","0,7495","0,76","0,7791","0,8122","0,7686","0,8099","0,7614","0,8122","0,7469","0,8099","0,6854","0,6721","0,6604","0,6671",c
"1,52","0,31","4914,6802","3796,6106","4968,0609","3410,5146","4709,1518","3796,6106","4819,0464","3410,5146","6013,4909","5788,9752","6009,8864","5587,0342","19,2733","14,8887","19,4826","13,3746","18,4673","14,8887","18,8982","13,3746","23,5823","22,7019","23,5682","21,9099","0,9244","0,9416","0,9236","0,9476","0,9276","0,9416","0,9259","0,9476","0,9075","0,911","0,9076","0,9141","0,7916","0,8104","0,7918","0,8136","0,8009","0,8104","0,8013","0,8136","0,7968","0,8107","0,7988","0,8123","0,7509","0,7975","0,7474","0,8181","0,7515","0,7975","0,7438","0,8181","0,6711","0,6597","0,6677","0,6716",c
"0,88","-1,22","5539,7042","4310,3693","5211,6512","4507,4148","6324,6201","4310,3693","5799,6599","4507,4148","8557,2496","7378,7234","7786,9754","7891,1348","21,7243","16,9034","20,4378","17,6761","24,8024","16,9034","22,7438","17,6761","33,5578","28,9362","30,5372","30,9456","0,9148","0,9337","0,9199","0,9307","0,9027","0,9337","0,9108","0,9307","0,8684","0,8865","0,8802","0,8786","0,7143","0,7302","0,717","0,7284","0,7113","0,7302","0,7157","0,7284","0,6956","0,7116","0,7019","0,7074","0,7931","0,8363","0,8056","0,8288","0,7605","0,8363","0,7806","0,8288","0,6726","0,7113","0,7021","0,6912",c
"1,14","-0,7","5191,7562","3483,4821","4737,5357","3720,4537","4943,4211","3483,4821","4539,9273","3720,4537","6383,5666","5812,8409","5587,3333","5862,1023","20,3598","13,6607","18,5786","14,59","19,386","13,6607","17,8036","14,59","25,0336","22,7955","21,9111","22,9886","0,9202","0,9464","0,9271","0,9428","0,924","0,9464","0,9302","0,9428","0,9018","0,9106","0,9141","0,9098","0,7497","0,7716","0,7517","0,7695","0,759","0,7716","0,7594","0,7695","0,753","0,7656","0,7558","0,7652","0,781","0,8486","0,8017","0,8384","0,7851","0,8486","0,8051","0,8384","0,715","0,7311","0,7546","0,7289",c
"0,78","-1,4","6479,5635","5433,3558","5649,3857","5082,8167","7665,5488","5433,3558","6252,4038","5082,8167","10295,625","9576,8527","8065,1163","8966,8621","25,4101","21,3073","22,1545","19,9326","30,061","21,3073","24,5192","19,9326","40,375","37,5563","31,6279","35,1642","0,9004","0,9164","0,9131","0,9218","0,8821","0,9164","0,9038","0,9218","0,8417","0,8527","0,876","0,8621","0,6949","0,7095","0,7022","0,7127","0,6891","0,7095","0,701","0,7127","0,6712","0,6838","0,6892","0,6886","0,7669","0,8011","0,7968","0,8139","0,7201","0,8011","0,772","0,8139","0,6196","0,638","0,7021","0,6611",c
"1,45","0,09","4408,4746","3164,0517","4411,3662","3413,1897","4258,1857","3164,0517","4265,5606","3413,1897","5177,3946","4770,5742","5250,4658","5548,3852","17,2881","12,408","17,2995","13,3851","16,6988","12,408","16,7277","13,3851","20,3035","18,7081","20,5901","21,7584","0,9322","0,9513","0,9322","0,9475","0,9345","0,9513","0,9344","0,9475","0,9204","0,9266","0,9193","0,9147","0,7874","0,8065","0,7882","0,8043","0,7947","0,8065","0,7964","0,8043","0,7924","0,8066","0,7943","0,8003","0,786","0,8396","0,7849","0,8269","0,7868","0,8396","0,7845","0,8269","0,7336","0,7394","0,7262","0,6969",c
"0,69","-1,52","6120,6372","4727,5829","6204,4688","5446,3967","6828,7309","4727,5829","7028,234","5446,3967","9063,4064","8099,3019","9612,3913","9309,8737","24,0025","18,5395","24,3313","21,3584","26,7793","18,5395","27,5617","21,3584","35,5428","31,762","37,6957","36,5093","0,9059","0,9273","0,9046","0,9162","0,895","0,9273","0,8919","0,9162","0,8606","0,8754","0,8522","0,8568","0,6894","0,7068","0,6882","0,7002","0,6866","0,7068","0,6848","0,7002","0,6704","0,6851","0,666","0,675","0,7858","0,8321","0,7832","0,8066","0,7583","0,8321","0,7513","0,8066","0,6763","0,7046","0,6566","0,6605",c
"1,36","-0,15","5001,9231","3258,3333","4850,5435","3428,3333","4632,4628","3258,3333","4495,2065","3428,3333","5903,4325","5320,2273","5683,1965","5615,7955","19,6154","12,7778","19,0217","13,4444","18,1665","12,7778","17,6283","13,4444","23,1507","20,8636","22,287","22,0227","0,9231","0,9499","0,9254","0,9473","0,9288","0,9499","0,9309","0,9473","0,9092","0,9182","0,9126","0,9136","0,7745","0,7974","0,7754","0,7959","0,7849","0,7974","0,7855","0,7959","0,7806","0,795","0,7818","0,7926","0,7663","0,8417","0,7738","0,8335","0,7759","0,8417","0,7831","0,8335","0,7054","0,7206","0,7172","0,7051",c
"1,39","-0,06","5508,3161","3780,5233","5242,3256","3917,9968","5189,6274","3780,5233","4988,6905","3917,9968","6544,724","5904,8173","6202,9268","6264,8671","21,6012","14,8256","20,5581","15,3647","20,3515","14,8256","19,5635","15,3647","25,6656","23,1561","24,3252","24,5681","0,9153","0,9419","0,9194","0,9397","0,9202","0,9419","0,9233","0,9397","0,8994","0,9092","0,9046","0,9037","0,7755","0,7986","0,776","0,7974","0,7866","0,7986","0,7856","0,7974","0,7827","0,7979","0,7821","0,7951","0,7362","0,8109","0,7509","0,804","0,7407","0,8109","0,7541","0,804","0,6609","0,6765","0,6841","0,6568",c
"1,23","-0,49","5810,6018","3746,1549",5780,"3333,7341","5155,259","3746,1549","5091,9048","3333,7341","6509,5373","6264,8671","6484,878","5616,7774","22,7867","14,6908","22,6667","13,0735","20,2167","14,6908","19,9683","13,0735","25,5276","24,5681","25,4309","22,0266","0,9106","0,9424","0,9111","0,9487","0,9207","0,9424","0,9217","0,9487","0,8999","0,9037","0,9003","0,9136","0,7534","0,7788","0,753","0,7824","0,7665","0,7788","0,7661","0,7824","0,7618","0,7736","0,7611","0,7784","0,7454","0,8301","0,7474","0,8488","0,7665","0,8301","0,7703","0,8488","0,6962","0,6937","0,6986","0,7259",c
"1,26","-0,4","5744,7561","4181,2084","5594,6834","4325,388","5635,5","4181,2084","5508,7625","4325,388","7039,7436","6691,5262","6672,0663","6918,3576","22,5285","16,3969","21,9399","16,9623","22,1","16,3969","21,603","16,9623","27,6068","26,2413","26,165","27,1308","0,9117","0,9357","0,914","0,9335","0,9133","0,9357","0,9153","0,9335","0,8917","0,8971","0,8974","0,8936","0,7593","0,7818","0,76","0,7805","0,7688","0,7818","0,7684","0,7805","0,7647","0,7784","0,7656","0,7766","0,7424","0,8044","0,7497","0,7976","0,7373","0,8044","0,7448","0,7976","0,6602","0,659","0,6812","0,6474",c
"1,12","-0,74","5749,8958","4242,766","5744,5768","4673,1915","6126,8821","4242,766","5869,4589","4673,1915","7498,0378","6746,665","7790,4348","7710,4743","22,5486","16,6383","22,5278","18,3262","24,027","16,6383","23,0175","18,3262","29,4041","26,4575","30,5507","30,2372","0,9116","0,9348","0,9117","0,9281","0,9058","0,9348","0,9097","0,9281","0,8847","0,8962","0,8802","0,8814","0,7421","0,7635","0,7426","0,7598","0,7457","0,7635","0,7488","0,7598","0,7398","0,7573","0,7398","0,7497","0,7602","0,8167","0,7599","0,7981","0,7373","0,8167","0,7473","0,7981","0,6712","0,6889","0,655","0,6444",c
"1,29","-0,34","4747,1955",3400,"4705,9091","3352,7778","4577,2315",3400,"4468,9909","3352,7778","5627,1635","5422,8396","5694,2115","5471,9151","18,6165","13,3333","18,4545","13,1481","17,9499","13,3333","17,5255","13,1481","22,0673","21,266","22,3302","21,4585","0,927","0,9477","0,9276","0,9484","0,9296","0,9477","0,9313","0,9484","0,9135","0,9166","0,9124","0,9159","0,7689","0,7882","0,7688","0,7887","0,7774","0,7882","0,7776","0,7887","0,7746","0,7856","0,7732","0,7852","0,786","0,8411","0,7882","0,8433","0,7868","0,8411","0,7926","0,8433","0,7304","0,7278","0,7282","0,7254",c
"1,34","-0,19","5242,0516","3488,8529","5063,0602","3669,3108","4876,875","3488,8529","4782,1346","3669,3108","6188,4588","5560,1087","5810,7447","6062,7174","20,5571","13,6818","19,8551","14,3895","19,125","13,6818","18,7535","14,3895","24,2685","21,8043","22,7872","23,7754","0,9194","0,9463","0,9221","0,9436","0,925","0,9463","0,9265","0,9436","0,9048","0,9145","0,9106","0,9068","0,7713","0,7944","0,7719","0,7929","0,7821","0,7944","0,7815","0,7929","0,7781","0,7928","0,7791","0,7888","0,7564","0,8313","0,7657","0,8226","0,7648","0,8313","0,771","0,8226","0,6915","0,7084","0,7133","0,6821",c
"1,42","0,01","4947,5543","3823,2292","4983,7755","3702,8125","4902,4399","3823,2292","4976,4031","3702,8125","5992,3795","6037,1373","6141,4215","5911,3636","19,4022","14,9931","19,5442","14,5208","19,2253","14,9931","19,5153","14,5208","23,4995","23,675","24,084","23,1818","0,9239","0,9412","0,9234","0,9431","0,9246","0,9412","0,9235","0,9431","0,9078","0,9072","0,9056","0,9091","0,7814","0,7998","0,7811","0,8008","0,7894","0,7998","0,7892","0,8008","0,7871","0,7982","0,7865","0,7992","0,7616","0,8072","0,7599","0,8133","0,7545","0,8072","0,7504","0,8133","0,6895","0,6668","0,6809","0,6737",c
"1,19","-0,59","6791,3634","4806,1957","6856,0638","4083,6957","6125,5435","4806,1957","6131,4676","4083,6957","8128,125","8013,1818","8011,4918","6568,1818","26,6328","18,8478","26,8865","16,0145","24,0217","18,8478","24,045","16,0145","31,875","31,4242","31,4176","25,7576","0,8956","0,9261","0,8946","0,9372","0,9058","0,9261","0,9057","0,9372","0,875","0,8768","0,8768","0,899","0,7381","0,7614","0,7385","0,7675","0,7485","0,7614","0,7504","0,7675","0,7365","0,7468","0,7405","0,7575","0,7112","0,7899","0,7074","0,8216","0,7342","0,7899","0,7317","0,8216","0,6411","0,6313","0,6415","0,6988",c
